beneficiary,vintage_year,total_volume
SEBACH S.p.A.,2014,269.0
Greenstar Group (WA) Pty Ltd,2014,269.0
CHIA TAI CONSUMER PRODUCTS PTE LTD,2010,269.0
Spire Healthcare,2020,269.0
CIMC GLOBE SUCCESS LOGISTICS CO LTD,2016,269.0
LC Energy Ltd,2020,269.0
Theo Topco,2020,269.0
Fable Holdings Pty Ltd,2021,269.0
LONGSAIL INTERNATIONAL LOGISTICS CO LTD,2016,268.0
NC'NEAN DISTILLERY LTD,2013,268.0
The Flavourworks,2009,268.0
ABS Investment Management LLC,2016,268.0
Mastek Ltd,2015,268.0
Fleetline Coachworks Ltd,2011,268.0
Geertz Optik GmbH,2015,268.0
Climate Heroes - 21.12.30,2018,268.0
EV023020220023,2018,268.0
